"id_name","event_date","false_creation_date_per_AF_year","creation_date_per_AF_year","id","name","yes_year","dates_yes","rsvp_yes_count","dates_yes_cumsum","days_to_event","yes_day","yes_month","dates_yes_otheryear","relative_today_cumsum","yes_year_factor"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-24,1,56,17,24,2,2020-02-24,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-25,0,56,16,25,2,2020-02-25,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-26,10,66,15,26,2,2020-02-26,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-27,1,67,14,27,2,2020-02-27,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-28,1,68,13,28,2,2020-02-28,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-29,6,74,12,29,2,2020-02-29,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-03-01,3,77,11,1,3,2020-03-01,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-03-02,6,83,10,2,3,2020-03-02,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-03-03,2,85,9,3,3,2020-03-03,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-03-04,2,87,8,4,3,2020-03-04,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-03-05,2,89,7,5,3,2020-03-05,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-03-06,2,91,6,6,3,2020-03-06,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-03-07,11,102,5,7,3,2020-03-07,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-03-08,6,108,4,8,3,2020-03-08,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-03-09,1,109,3,9,3,2020-03-09,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-03-10,2,111,2,10,3,2020-03-10,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-03-11,8,119,1,11,3,2020-03-11,108,"2016"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-01-22,1,1,48,22,1,2020-01-22,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-01-23,0,1,47,23,1,2020-01-23,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-01-24,0,1,46,24,1,2020-01-24,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-01-25,3,4,45,25,1,2020-01-25,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-01-26,0,4,44,26,1,2020-01-26,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-01-27,0,4,43,27,1,2020-01-27,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-01-28,0,4,42,28,1,2020-01-28,93,"2017"
